#name	canonicalname	id
AIDS-Related Malignant Neoplasm of the Uterine Cervix	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Tumor of Cervix	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Tumor of Cervix Uteri	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Tumor of Uterine Cervix	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Tumor of the Cervix	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Tumor of the Cervix Uteri	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Tumor of the Uterine Cervix	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Uterine Cervix Neoplasm	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Uterine Cervix Tumor	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related_Malignant_Neoplasm	AIDS-Related_Malignant_Neoplasm	C4046
AIDS-Related Malignant Neoplasm	AIDS-Related_Malignant_Neoplasm	C4046
AIDS Related Cancer	AIDS-Related_Malignant_Neoplasm	C4046
AIDS-Related Cancer	AIDS-Related_Malignant_Neoplasm	C4046
AIDS-Related Malignancies	AIDS-Related_Malignant_Neoplasm	C4046
AIDS-Related Malignancy	AIDS-Related_Malignant_Neoplasm	C4046
AIDS-related cancer	AIDS-Related_Malignant_Neoplasm	C4046
AIDS-Related_Non-Hodgkin_s_Lymphoma	AIDS-Related_Non-Hodgkin_s_Lymphoma	C5051
AIDS-Related Non-Hodgkin Lymphoma	AIDS-Related_Non-Hodgkin_s_Lymphoma	C5051
AIDS-Related Non-Hodgkin's Lymphoma	AIDS-Related_Non-Hodgkin_s_Lymphoma	C5051
AIDS-related NHL	AIDS-Related_Non-Hodgkin_s_Lymphoma	C5051
AIDS-related Non-Hodgkin lymphoma	AIDS-Related_Non-Hodgkin_s_Lymphoma	C5051
AIDS-Related_Non-Hodgkin_s_Lymphoma_of_the_Cervix	AIDS-Related_Non-Hodgkin_s_Lymphoma_of_the_Cervix	C7434
AIDS-Related Non-Hodgkin Lymphoma of the Cervix	AIDS-Related_Non-Hodgkin_s_Lymphoma_of_the_Cervix	C7434
AIDS-Related Non-Hodgkin's Lymphoma of Cervix	AIDS-Related_Non-Hodgkin_s_Lymphoma_of_the_Cervix	C7434
AIDS-Related Non-Hodgkin's Lymphoma of the Cervix	AIDS-Related_Non-Hodgkin_s_Lymphoma_of_the_Cervix	C7434
AIDS-Related Uterine Cervical Non-Hodgkin's Lymphoma	AIDS-Related_Non-Hodgkin_s_Lymphoma_of_the_Cervix	C7434
AIDS-Related_Plasmablastic_Lymphoma	AIDS-Related_Plasmablastic_Lymphoma	C27859
AIDS-Related Plasmablastic Lymphoma	AIDS-Related_Plasmablastic_Lymphoma	C27859
AIDS-Related_Plasmablastic_Lymphoma_of_Mucosa_Site	AIDS-Related_Plasmablastic_Lymphoma_of_Mucosa_Site	C38160
AIDS-Related Plasmablastic Lymphoma of Mucosa Site	AIDS-Related_Plasmablastic_Lymphoma_of_Mucosa_Site	C38160
AIDS-Related_Plasmablastic_Lymphoma_of_the_Oral_Cavity	AIDS-Related_Plasmablastic_Lymphoma_of_the_Oral_Cavity	C9016
AIDS-Related Plasmablastic Lymphoma of the Oral Mucosa	AIDS-Related_Plasmablastic_Lymphoma_of_the_Oral_Cavity	C9016
AIDS-Related Plasmablastic Lymphoma of Oral Mucosa	AIDS-Related_Plasmablastic_Lymphoma_of_the_Oral_Cavity	C9016
AIDS-Related_Primary_Central_Nervous_System_Lymphoma	AIDS-Related_Primary_Central_Nervous_System_Lymphoma	C8284
AIDS-Related Primary Central Nervous System Lymphoma	AIDS-Related_Primary_Central_Nervous_System_Lymphoma	C8284
AIDS Related Lymphoma of Primary Central Nervous System	AIDS-Related_Primary_Central_Nervous_System_Lymphoma	C8284
AIDS Related Lymphoma of the Primary Central Nervous System	AIDS-Related_Primary_Central_Nervous_System_Lymphoma	C8284
AIDS Related Primary CNS Lymphoma	AIDS-Related_Primary_Central_Nervous_System_Lymphoma	C8284
AIDS Related Primary Central Nervous System Lymphoma	AIDS-Related_Primary_Central_Nervous_System_Lymphoma	C8284
AIDS-Related Lymphoma of Primary Central Nervous System	AIDS-Related_Primary_Central_Nervous_System_Lymphoma	C8284
AIDS-Related Lymphoma of the Primary Central Nervous System	AIDS-Related_Primary_Central_Nervous_System_Lymphoma	C8284
AIDS-Related Primary CNS Lymphoma	AIDS-Related_Primary_Central_Nervous_System_Lymphoma	C8284
AIDS-related primary CNS lymphoma	AIDS-Related_Primary_Central_Nervous_System_Lymphoma	C8284
AIDS-Related_Primary_Effusion_Lymphoma	AIDS-Related_Primary_Effusion_Lymphoma	C9017
AIDS-Related Primary Effusion Lymphoma	AIDS-Related_Primary_Effusion_Lymphoma	C9017
AIDS_Related_Immunoblastic_Lymphoma	AIDS_Related_Immunoblastic_Lymphoma	C8285
AIDS Related Immunoblastic Lymphoma	AIDS_Related_Immunoblastic_Lymphoma	C8285
AIDS Associated Immunoblastic Lymphoma	AIDS_Related_Immunoblastic_Lymphoma	C8285
AIDS Related Immunoblastic Large Cell Lymphoma	AIDS_Related_Immunoblastic_Lymphoma	C8285
AIDS-Associated Immunoblastic Large Cell Lymphoma	AIDS_Related_Immunoblastic_Lymphoma	C8285
AJCC_Grade_1_Sarcoma	AJCC_Grade_1_Sarcoma	C9419
AJCC Grade 1 Sarcoma	AJCC_Grade_1_Sarcoma	C9419
AJCC G1 Sarcoma	AJCC_Grade_1_Sarcoma	C9419
AJCC Grade I Sarcoma	AJCC_Grade_1_Sarcoma	C9419
Well Differentiated Sarcoma	AJCC_Grade_1_Sarcoma	C9419
AJCC_Grade_2_Sarcoma	AJCC_Grade_2_Sarcoma	C9420
AJCC Grade 2 Sarcoma	AJCC_Grade_2_Sarcoma	C9420
AJCC G2 Sarcoma	AJCC_Grade_2_Sarcoma	C9420
AJCC Grade II Sarcoma	AJCC_Grade_2_Sarcoma	C9420
Moderately Differentiated Sarcoma	AJCC_Grade_2_Sarcoma	C9420
AJCC_Grade_3_Sarcoma	AJCC_Grade_3_Sarcoma	C9421
AJCC Grade 3 Sarcoma	AJCC_Grade_3_Sarcoma	C9421
AJCC G3 Sarcoma	AJCC_Grade_3_Sarcoma	C9421
AJCC Grade III Sarcoma	AJCC_Grade_3_Sarcoma	C9421
AJCC_Grade_4_Sarcoma	AJCC_Grade_4_Sarcoma	C9422
AJCC Grade 4 Sarcoma	AJCC_Grade_4_Sarcoma	C9422
AJCC G4 Sarcoma	AJCC_Grade_4_Sarcoma	C9422
AJCC Grade IV Sarcoma	AJCC_Grade_4_Sarcoma	C9422
ALK-Negative_Anaplastic_Large_Cell_Lymphoma	ALK-Negative_Anaplastic_Large_Cell_Lymphoma	C37194
Anaplastic Large Cell Lymphoma, ALK-Negative	ALK-Negative_Anaplastic_Large_Cell_Lymphoma	C37194
ALCL, ALK-	ALK-Negative_Anaplastic_Large_Cell_Lymphoma	C37194
ALK-Negative Anaplastic Large Cell Lymphoma	ALK-Negative_Anaplastic_Large_Cell_Lymphoma	C37194
ALK-Positive_Anaplastic_Large_Cell_Lymphoma	ALK-Positive_Anaplastic_Large_Cell_Lymphoma	C37193
Anaplastic Large Cell Lymphoma, ALK-Positive	ALK-Positive_Anaplastic_Large_Cell_Lymphoma	C37193
ALCL, ALK+	ALK-Positive_Anaplastic_Large_Cell_Lymphoma	C37193
ALK-Positive Anaplastic Large Cell Lymphoma	ALK-Positive_Anaplastic_Large_Cell_Lymphoma	C37193
ALKoma	ALK-Positive_Anaplastic_Large_Cell_Lymphoma	C37193
Abdominal_Carcinomatosis	Abdominal_Carcinomatosis	C27382
Peritoneal Carcinomatosis	Abdominal_Carcinomatosis	C27382
Abdominal Carcinomatosis	Abdominal_Carcinomatosis	C27382
Carcinomatosis of the Peritoneum	Abdominal_Carcinomatosis	C27382
Abdominal_Fibromatosis	Abdominal_Fibromatosis	C3741
Abdominal (Mesenteric) Fibromatosis	Abdominal_Fibromatosis	C3741
Abdominal Desmoid	Abdominal_Fibromatosis	C3741
Abdominal Desmoid Tumor	Abdominal_Fibromatosis	C3741
Abdominal Fibromatosis	Abdominal_Fibromatosis	C3741
Intraabdominal Desmoid	Abdominal_Fibromatosis	C3741
Intraabdominal Desmoid Tumor	Abdominal_Fibromatosis	C3741
Intraabdominal Fibromatosis	Abdominal_Fibromatosis	C3741
Mesenteric Desmoid	Abdominal_Fibromatosis	C3741
Mesenteric Desmoid Tumor	Abdominal_Fibromatosis	C3741
Mesenteric Fibromatosis	Abdominal_Fibromatosis	C3741
Abducens_Nerve_Neoplasm	Abducens_Nerve_Neoplasm	C5826
Abducens Nerve Neoplasm	Abducens_Nerve_Neoplasm	C5826
Abducens Nerve Neoplasms	Abducens_Nerve_Neoplasm	C5826
Abducens Nerve Tumor	Abducens_Nerve_Neoplasm	C5826
Abducens Nerve Tumors	Abducens_Nerve_Neoplasm	C5826
Neoplasm of Abducens Nerve	Abducens_Nerve_Neoplasm	C5826
Neoplasm of Sixth Cranial Nerve	Abducens_Nerve_Neoplasm	C5826
Neoplasm of the Abducens Nerve	Abducens_Nerve_Neoplasm	C5826
Neoplasm of the Sixth Cranial Nerve	Abducens_Nerve_Neoplasm	C5826
Sixth Cranial Nerve Neoplasm	Abducens_Nerve_Neoplasm	C5826
Sixth Cranial Nerve Neoplasms	Abducens_Nerve_Neoplasm	C5826
Sixth Cranial Nerve Tumor	Abducens_Nerve_Neoplasm	C5826
Sixth Cranial Nerve Tumors	Abducens_Nerve_Neoplasm	C5826
Tumor of Abducens Nerve	Abducens_Nerve_Neoplasm	C5826
Tumor of Sixth Cranial Nerve	Abducens_Nerve_Neoplasm	C5826
Tumor of the Abducens Nerve	Abducens_Nerve_Neoplasm	C5826
Tumor of the Sixth Cranial Nerve	Abducens_Nerve_Neoplasm	C5826
VIth Cranial Nerve Neoplasms	Abducens_Nerve_Neoplasm	C5826
VIth Cranial Nerve Tumors	Abducens_Nerve_Neoplasm	C5826
Acantholytic_Acanthoma	Acantholytic_Acanthoma	C27517
Acantholytic Acanthoma	Acantholytic_Acanthoma	C27517
Acantholytic_Squamous_Cell_Skin_Carcinoma	Acantholytic_Squamous_Cell_Skin_Carcinoma	C4460
Acantholytic Squamous Cell Skin Carcinoma	Acantholytic_Squamous_Cell_Skin_Carcinoma	C4460
Acantholytic Squamous Cell Carcinoma of Skin	Acantholytic_Squamous_Cell_Skin_Carcinoma	C4460
Acantholytic Squamous Cell Carcinoma of the Skin	Acantholytic_Squamous_Cell_Skin_Carcinoma	C4460
Acanthoma	Acanthoma	C7419
Acanthoma	Acanthoma	C7419
Acanthomatous_Ameloblastoma	Acanthomatous_Ameloblastoma	C39754
Acanthomatous Ameloblastoma	Acanthomatous_Ameloblastoma	C39754
Accelerated_Phase_Chronic_Myelogenous_Leukemia	Accelerated_Phase_Chronic_Myelogenous_Leukemia	C3173
Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive	Accelerated_Phase_Chronic_Myelogenous_Leukemia	C3173
Accelerated Phase CML	Accelerated_Phase_Chronic_Myelogenous_Leukemia	C3173
Accelerated Phase Chronic Granulocytic Leukemia	Accelerated_Phase_Chronic_Myelogenous_Leukemia	C3173
Accelerated Phase Chronic Myelocytic Leukemia	Accelerated_Phase_Chronic_Myelogenous_Leukemia	C3173
Accelerated Phase Chronic Myelogenous Leukemia	Accelerated_Phase_Chronic_Myelogenous_Leukemia	C3173
Accelerated Phase Chronic Myeloid Leukemia	Accelerated_Phase_Chronic_Myelogenous_Leukemia	C3173
Aggressive-Phase CML	Accelerated_Phase_Chronic_Myelogenous_Leukemia	C3173
Aggressive-Phase Chronic Myelocytic Leukemia	Accelerated_Phase_Chronic_Myelogenous_Leukemia	C3173
Aggressive-Phase Chronic Myelogenous Leukemia	Accelerated_Phase_Chronic_Myelogenous_Leukemia	C3173
Aggressive-Phase Chronic Myeloid Leukemia	Accelerated_Phase_Chronic_Myelogenous_Leukemia	C3173
accelerated phase chronic myelogenous leukemia	Accelerated_Phase_Chronic_Myelogenous_Leukemia	C3173
Acidophil_Adenocarcinoma	Acidophil_Adenocarcinoma	C4147
Pituitary Gland Acidophil Carcinoma	Acidophil_Adenocarcinoma	C4147
Acidophil Adenocarcinoma	Acidophil_Adenocarcinoma	C4147
Acidophil Carcinoma	Acidophil_Adenocarcinoma	C4147
Eosinophil Adenocarcinoma	Acidophil_Adenocarcinoma	C4147
Eosinophil Carcinoma	Acidophil_Adenocarcinoma	C4147
Acidophil_Adenoma	Acidophil_Adenoma	C6780
Pituitary Gland Acidophil Adenoma	Acidophil_Adenoma	C6780
Acidophil Adenoma	Acidophil_Adenoma	C6780
Eosinophil Adenoma	Acidophil_Adenoma	C6780
Acidophil_Stem_Cell_Pituitary_Gland_Adenoma	Acidophil_Stem_Cell_Pituitary_Gland_Adenoma	C45929
Acidophil Stem Cell Pituitary Gland Adenoma	Acidophil_Stem_Cell_Pituitary_Gland_Adenoma	C45929
Acidophil Stem Cell Adenoma	Acidophil_Stem_Cell_Pituitary_Gland_Adenoma	C45929
Acinar_Cell_Adenoma	Acinar_Cell_Adenoma	C4196
Acinar Cell Adenoma	Acinar_Cell_Adenoma	C4196
ADENOMA, ACINAR CELL, BENIGN	Acinar_Cell_Adenoma	C4196
Acinar Adenoma	Acinar_Cell_Adenoma	C4196
Acinic Cell Adenoma	Acinar_Cell_Adenoma	C4196
Acinar_Cell_Carcinoma	Acinar_Cell_Carcinoma	C3768
Acinar Cell Carcinoma	Acinar_Cell_Carcinoma	C3768
Acinar Adenocarcinoma	Acinar_Cell_Carcinoma	C3768
Acinar Carcinoma	Acinar_Cell_Carcinoma	C3768
Acinar Cell Adenocarcinoma	Acinar_Cell_Carcinoma	C3768
Acinic Cell Adenocarcinoma	Acinar_Cell_Carcinoma	C3768
Acinic Cell Carcinoma	Acinar_Cell_Carcinoma	C3768
CARCINOMA, ACINAR CELL, MALIGNANT	Acinar_Cell_Carcinoma	C3768
Acinar_Cell_Neoplasm	Acinar_Cell_Neoplasm	C4197
Acinar Cell Neoplasm	Acinar_Cell_Neoplasm	C4197
Acinar Cell Tumor	Acinar_Cell_Neoplasm	C4197
Acinar_Lung_Adenocarcinoma	Acinar_Lung_Adenocarcinoma	C5649
Acinar Lung Adenocarcinoma	Acinar_Lung_Adenocarcinoma	C5649
Acinar Adenocarcinoma of Lung	Acinar_Lung_Adenocarcinoma	C5649
Acinar Adenocarcinoma of the Lung	Acinar_Lung_Adenocarcinoma	C5649
Acinar_Prostate_Adenocarcinoma	Acinar_Prostate_Adenocarcinoma	C5596
Acinar Prostate Adenocarcinoma	Acinar_Prostate_Adenocarcinoma	C5596
Acinar Adenocarcinoma of Prostate	Acinar_Prostate_Adenocarcinoma	C5596
Acinar Adenocarcinoma of the Prostate	Acinar_Prostate_Adenocarcinoma	C5596
Prostatic Acinar Adenocarcinoma	Acinar_Prostate_Adenocarcinoma	C5596
Acinar_Prostate_Adenocarcinoma_Atrophic_Variant	Acinar_Prostate_Adenocarcinoma_Atrophic_Variant	C39880
Acinar Prostate Adenocarcinoma, Atrophic Variant	Acinar_Prostate_Adenocarcinoma_Atrophic_Variant	C39880
Acinar_Prostate_Adenocarcinoma_Foamy_Gland_Variant	Acinar_Prostate_Adenocarcinoma_Foamy_Gland_Variant	C39882
Acinar Prostate Adenocarcinoma, Foamy Gland Variant	Acinar_Prostate_Adenocarcinoma_Foamy_Gland_Variant	C39882
Acinar_Prostate_Adenocarcinoma_Lymphoepithelioma-like_Variant	Acinar_Prostate_Adenocarcinoma_Lymphoepithelioma-like_Variant	C39885
Acinar Prostate Adenocarcinoma, Lymphoepithelioma-Like Variant	Acinar_Prostate_Adenocarcinoma_Lymphoepithelioma-like_Variant	C39885
Acinar_Prostate_Adenocarcinoma_Oncocytic_Variant	Acinar_Prostate_Adenocarcinoma_Oncocytic_Variant	C39884
Acinar Prostate Adenocarcinoma, Oncocytic Variant	Acinar_Prostate_Adenocarcinoma_Oncocytic_Variant	C39884
Acinar_Prostate_Adenocarcinoma_Pseudohyperplastic_Variant	Acinar_Prostate_Adenocarcinoma_Pseudohyperplastic_Variant	C39881
Acinar Prostate Adenocarcinoma, Pseudohyperplastic Variant	Acinar_Prostate_Adenocarcinoma_Pseudohyperplastic_Variant	C39881
Acinic_Cell_Breast_Carcinoma	Acinic_Cell_Breast_Carcinoma	C40367
Acinic Cell Breast Carcinoma	Acinic_Cell_Breast_Carcinoma	C40367
Acoustic_Schwannoma	Acoustic_Schwannoma	C3276
Acoustic Schwannoma	Acoustic_Schwannoma	C3276
Acoustic Neurilemmoma	Acoustic_Schwannoma	C3276
Acoustic Neuroma	Acoustic_Schwannoma	C3276
Neurilemoma, Acoustic	Acoustic_Schwannoma	C3276
Neuroma, Acoustic	Acoustic_Schwannoma	C3276
Vestibular Neurilemmoma	Acoustic_Schwannoma	C3276
Vestibular Schwannoma	Acoustic_Schwannoma	C3276
Acquired_Hemangioma	Acquired_Hemangioma	C27018
Acquired Hemangioma	Acquired_Hemangioma	C27018
Acral_Fibromyxoma	Acral_Fibromyxoma	C121713
