#name	canonicalname	id
AIDS-Related_Anal_Carcinoma	AIDS-Related_Anal_Carcinoma	C9278
AIDS-Related Anal Carcinoma	AIDS-Related_Anal_Carcinoma	C9278
AIDS-Related Anal Cancer	AIDS-Related_Anal_Carcinoma	C9278
AIDS-related anal cancer	AIDS-Related_Anal_Carcinoma	C9278
AIDS-Related_Anal_Non-Hodgkins_Lymphoma	AIDS-Related_Anal_Non-Hodgkins_Lymphoma	C7465
AIDS-Related Anal Non-Hodgkin Lymphoma	AIDS-Related_Anal_Non-Hodgkins_Lymphoma	C7465
AIDS-Related Anal Non-Hodgkin's Lymphoma	AIDS-Related_Anal_Non-Hodgkins_Lymphoma	C7465
AIDS-Related Primary Anal Non-Hodgkin's Lymphoma	AIDS-Related_Anal_Non-Hodgkins_Lymphoma	C7465
AIDS-Related_Carcinoma	AIDS-Related_Carcinoma	C27700
AIDS-Related Carcinoma	AIDS-Related_Carcinoma	C27700
AIDS Related Carcinoma	AIDS-Related_Carcinoma	C27700
AIDS-Related_Cervical_Carcinoma	AIDS-Related_Cervical_Carcinoma	C7432
AIDS-Related Cervical Carcinoma	AIDS-Related_Cervical_Carcinoma	C7432
AIDS Related Carcinoma of Uterine Cervix	AIDS-Related_Cervical_Carcinoma	C7432
AIDS Related Carcinoma of the Uterine Cervix	AIDS-Related_Cervical_Carcinoma	C7432
AIDS Related Cervical Cancer	AIDS-Related_Cervical_Carcinoma	C7432
AIDS-Related Cancer of Uterine Cervix	AIDS-Related_Cervical_Carcinoma	C7432
AIDS-Related Cancer of the Uterine Cervix	AIDS-Related_Cervical_Carcinoma	C7432
AIDS-Related Cervical Cancer	AIDS-Related_Cervical_Carcinoma	C7432
AIDS-Related Cervix Carcinoma	AIDS-Related_Cervical_Carcinoma	C7432
AIDS-Related Uterine Cervix Cancer	AIDS-Related_Cervical_Carcinoma	C7432
AIDS-Related Uterine Cervix Carcinoma	AIDS-Related_Cervical_Carcinoma	C7432
AIDS-related cervical cancer	AIDS-Related_Cervical_Carcinoma	C7432
AIDS-Related_Diffuse_Large_B-cell_Lymphoma	AIDS-Related_Diffuse_Large_B-cell_Lymphoma	C7212
AIDS-Related Diffuse Large B-cell Lymphoma	AIDS-Related_Diffuse_Large_B-cell_Lymphoma	C7212
AIDS-Related_Diffuse_Large_Cell_Lymphoma	AIDS-Related_Diffuse_Large_Cell_Lymphoma	C7213
AIDS-Related Diffuse Large Cell Lymphoma	AIDS-Related_Diffuse_Large_Cell_Lymphoma	C7213
AIDS Associated Diffuse Large Cell Lymphoma	AIDS-Related_Diffuse_Large_Cell_Lymphoma	C7213
AIDS Related Diffuse Large Cell Lymphoma	AIDS-Related_Diffuse_Large_Cell_Lymphoma	C7213
AIDS-Associated Diffuse Large Cell Lymphoma	AIDS-Related_Diffuse_Large_Cell_Lymphoma	C7213
AIDS-Related_Diffuse_Mixed_Cell_Lymphoma	AIDS-Related_Diffuse_Mixed_Cell_Lymphoma	C8296
AIDS-Related Diffuse Mixed Cell Lymphoma	AIDS-Related_Diffuse_Mixed_Cell_Lymphoma	C8296
AIDS Associated Diffuse Mixed Cell Lymphoma	AIDS-Related_Diffuse_Mixed_Cell_Lymphoma	C8296
AIDS Related Diffuse Mixed Cell Lymphoma	AIDS-Related_Diffuse_Mixed_Cell_Lymphoma	C8296
AIDS-Associated Diffuse Mixed Cell Lymphoma	AIDS-Related_Diffuse_Mixed_Cell_Lymphoma	C8296
AIDS-Related_Diffuse_Small_Cleaved_Cell_Lymphoma	AIDS-Related_Diffuse_Small_Cleaved_Cell_Lymphoma	C8297
AIDS-Related Diffuse Small Cleaved Cell Lymphoma	AIDS-Related_Diffuse_Small_Cleaved_Cell_Lymphoma	C8297
AIDS Associated Diffuse Small Cleaved Cell Lymphoma	AIDS-Related_Diffuse_Small_Cleaved_Cell_Lymphoma	C8297
AIDS Related Diffuse Small Cleaved Cell Lymphoma	AIDS-Related_Diffuse_Small_Cleaved_Cell_Lymphoma	C8297
AIDS-Associated Diffuse Small Cleaved Cell Lymphoma	AIDS-Related_Diffuse_Small_Cleaved_Cell_Lymphoma	C8297
AIDS-Related_Hodgkin_s_Lymphoma	AIDS-Related_Hodgkin_s_Lymphoma	C9279
AIDS-Related Hodgkin Lymphoma	AIDS-Related_Hodgkin_s_Lymphoma	C9279
AIDS-Associated Hodgkin's Disease	AIDS-Related_Hodgkin_s_Lymphoma	C9279
AIDS-Associated Hodgkin's Lymphoma	AIDS-Related_Hodgkin_s_Lymphoma	C9279
AIDS-Related Hodgkin's Disease	AIDS-Related_Hodgkin_s_Lymphoma	C9279
AIDS-Related Hodgkin's Lymphoma	AIDS-Related_Hodgkin_s_Lymphoma	C9279
AIDS-related Hodgkin lymphoma	AIDS-Related_Hodgkin_s_Lymphoma	C9279
HIV-Associated Hodgkin's Disease	AIDS-Related_Hodgkin_s_Lymphoma	C9279
HIV-Associated Hodgkin's Lymphoma	AIDS-Related_Hodgkin_s_Lymphoma	C9279
HIV-Related Hodgkin's Disease	AIDS-Related_Hodgkin_s_Lymphoma	C9279
HIV-Related Hodgkin's Lymphoma	AIDS-Related_Hodgkin_s_Lymphoma	C9279
AIDS-Related_Kaposi_s_Sarcoma	AIDS-Related_Kaposi_s_Sarcoma	C3992
AIDS-Related Kaposi Sarcoma	AIDS-Related_Kaposi_s_Sarcoma	C3992
AIDS Related Kaposi's Sarcoma	AIDS-Related_Kaposi_s_Sarcoma	C3992
AIDS, Kaposi's Sarcoma	AIDS-Related_Kaposi_s_Sarcoma	C3992
AIDS-Related Kaposi's Sarcoma	AIDS-Related_Kaposi_s_Sarcoma	C3992
AIDS-related Kaposi sarcoma	AIDS-Related_Kaposi_s_Sarcoma	C3992
Autoimmune Deficiency Syndrome-Related Kaposi Sarcoma	AIDS-Related_Kaposi_s_Sarcoma	C3992
Epidemic Kaposi's Sarcoma	AIDS-Related_Kaposi_s_Sarcoma	C3992
Kaposi's Sarcoma AIDS Related	AIDS-Related_Kaposi_s_Sarcoma	C3992
Kaposi's Sarcoma Epidemic Type	AIDS-Related_Kaposi_s_Sarcoma	C3992
AIDS-Related_Kaposi_s_Sarcoma-Associated_Human_Herpes_Virus_8_Positive_Extracavity_Lymphoma	AIDS-Related_Kaposi_s_Sarcoma-Associated_Human_Herpes_Virus_8_Positive_Extracavity_Lymphoma	C27858
AIDS-Related Large B-Cell Lymphoma Arising in Human Herpes Virus 8-Associated Multicentric Castleman Disease	AIDS-Related_Kaposi_s_Sarcoma-Associated_Human_Herpes_Virus_8_Positive_Extracavity_Lymphoma	C27858
AIDS-Related Kaposi Sarcoma-Associated Human Herpes Virus 8 Positive Extracavity Lymphoma	AIDS-Related_Kaposi_s_Sarcoma-Associated_Human_Herpes_Virus_8_Positive_Extracavity_Lymphoma	C27858
AIDS-Related Kaposi's Sarcoma-Associated Human Herpes Virus 8 Positive Extracavity Lymphoma	AIDS-Related_Kaposi_s_Sarcoma-Associated_Human_Herpes_Virus_8_Positive_Extracavity_Lymphoma	C27858
AIDS-Related Large B-Cell Lymphoma Arising in HHV 8-Associated Multicentric Castleman Disease	AIDS-Related_Kaposi_s_Sarcoma-Associated_Human_Herpes_Virus_8_Positive_Extracavity_Lymphoma	C27858
AIDS-Related_Lymphoblastic_Lymphoma	AIDS-Related_Lymphoblastic_Lymphoma	C8298
AIDS-Related Lymphoblastic Lymphoma	AIDS-Related_Lymphoblastic_Lymphoma	C8298
AIDS Associated Lymphoblastic lymphoma	AIDS-Related_Lymphoblastic_Lymphoma	C8298
AIDS Related Lymphoblastic lymphoma	AIDS-Related_Lymphoblastic_Lymphoma	C8298
AIDS-Associated Lymphoblastic lymphoma	AIDS-Related_Lymphoblastic_Lymphoma	C8298
AIDS-Related Precursor Lymphoblastic Lymphoma	AIDS-Related_Lymphoblastic_Lymphoma	C8298
AIDS-Related_Lymphoma	AIDS-Related_Lymphoma	C3471
AIDS-Related Lymphoma	AIDS-Related_Lymphoma	C3471
AIDS Lymphoma	AIDS-Related_Lymphoma	C3471
AIDS Related Lymphoma	AIDS-Related_Lymphoma	C3471
HIV Associated Lymphoma	AIDS-Related_Lymphoma	C3471
Lymphoma AIDS Related	AIDS-Related_Lymphoma	C3471
Lymphoma, AIDS-Related	AIDS-Related_Lymphoma	C3471
AIDS-Related_Lymphoma_by_Working_Formulation	AIDS-Related_Lymphoma_by_Working_Formulation	C27826
AIDS-Related Lymphoma by Working Formulation	AIDS-Related_Lymphoma_by_Working_Formulation	C27826
AIDS-Related_Malignant_Anal_Neoplasm	AIDS-Related_Malignant_Anal_Neoplasm	C5047
AIDS-Related Malignant Anal Neoplasm	AIDS-Related_Malignant_Anal_Neoplasm	C5047
AIDS-Related Malignant Anal Tumor	AIDS-Related_Malignant_Anal_Neoplasm	C5047
AIDS-Related Malignant Neoplasm of Anus	AIDS-Related_Malignant_Anal_Neoplasm	C5047
AIDS-Related Malignant Neoplasm of the Anus	AIDS-Related_Malignant_Anal_Neoplasm	C5047
AIDS-Related Malignant Tumor of Anus	AIDS-Related_Malignant_Anal_Neoplasm	C5047
AIDS-Related Malignant Tumor of the Anus	AIDS-Related_Malignant_Anal_Neoplasm	C5047
AIDS-Related_Malignant_Cervical_Neoplasm	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Cervical Neoplasm	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Cervical Tumor	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Cervix Neoplasm	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Cervix Tumor	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Cervix Uteri Neoplasm	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Cervix Uteri Tumor	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Neoplasm of Cervix	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Neoplasm of Cervix Uteri	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Neoplasm of Uterine Cervix	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Neoplasm of the Cervix	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
AIDS-Related Malignant Neoplasm of the Cervix Uteri	AIDS-Related_Malignant_Cervical_Neoplasm	C5052
